# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
2e-05           	DILUPBiCGStab	1.00000000e+00	1.58047990e-07	2	1.00000000e+00	1.50834340e-07	2	false	DILUPBiCGStab	9.99999990e-01	1.44187980e-07	2	true	DILUPBiCGStab	1.00000000e+00	5.16389740e-07	2	true	DILUPBiCGStab	1.88966070e-04	9.11453140e-07	1	true	GAMG	1.00000000e+00	8.28396880e-04	3	true
4e-05           	DILUPBiCGStab	7.62186620e-03	1.97680880e-07	1	3.46085860e-01	3.16129440e-07	2	false	DILUPBiCGStab	3.07357040e-02	2.94085210e-08	2	true	DILUPBiCGStab	2.27657060e-02	8.62674640e-07	1	true	DILUPBiCGStab	1.68479090e-04	2.93790200e-07	1	true	GAMG	3.14111770e-02	8.85596220e-05	2	true
6e-05           	DILUPBiCGStab	4.51240110e-03	6.94614740e-08	1	2.13484400e-01	7.80456540e-08	2	false	DILUPBiCGStab	1.37546010e-02	7.54525940e-07	1	true	DILUPBiCGStab	1.29996890e-02	3.90338490e-07	1	true	DILUPBiCGStab	1.77081060e-04	3.97630300e-07	1	true	GAMG	1.32548310e-02	9.60862210e-05	2	true
8e-05           	DILUPBiCGStab	3.54254230e-03	4.43255770e-08	1	1.47760660e-01	3.70368210e-08	2	false	DILUPBiCGStab	9.72541510e-03	4.09411720e-07	1	true	DILUPBiCGStab	9.61772550e-03	2.41690470e-07	1	true	DILUPBiCGStab	1.83172040e-04	3.77427740e-07	1	true	GAMG	8.59139750e-03	6.56737480e-05	2	true
0.0001          	DILUPBiCGStab	3.19237820e-03	3.38652380e-08	1	1.15762840e-01	2.21157610e-08	2	false	DILUPBiCGStab	7.85229200e-03	2.73778480e-07	1	true	DILUPBiCGStab	7.94937100e-03	1.69986280e-07	1	true	DILUPBiCGStab	1.93361350e-04	3.48864010e-07	1	true	GAMG	6.85656290e-03	3.71431790e-05	2	true
0.00012         	DILUPBiCGStab	3.03178660e-03	2.74263050e-08	1	9.49267490e-02	1.43756950e-08	2	false	DILUPBiCGStab	6.91218890e-03	2.04445490e-07	1	true	DILUPBiCGStab	6.95162580e-03	1.28623900e-07	1	true	DILUPBiCGStab	2.07465440e-04	3.49187330e-07	1	true	GAMG	5.94494500e-03	2.25934220e-05	2	true
0.00014         	DILUPBiCGStab	2.94340340e-03	2.36260000e-08	1	8.05569270e-02	1.04432650e-08	2	false	DILUPBiCGStab	6.37111600e-03	1.63915430e-07	1	true	DILUPBiCGStab	6.29108860e-03	1.01961750e-07	1	true	DILUPBiCGStab	2.19201290e-04	3.48682700e-07	1	true	GAMG	5.37928200e-03	1.77282140e-05	2	true
0.00016         	DILUPBiCGStab	2.89757440e-03	2.09392850e-08	1	7.02407900e-02	8.01303150e-09	2	false	DILUPBiCGStab	6.04921000e-03	1.37333230e-07	1	true	DILUPBiCGStab	5.81767250e-03	8.36027510e-08	1	true	DILUPBiCGStab	2.31892210e-04	3.46134410e-07	1	true	GAMG	5.03935930e-03	1.43936690e-05	2	true
0.00018         	DILUPBiCGStab	2.87690580e-03	1.93310530e-08	1	6.24208380e-02	6.27303200e-09	2	false	DILUPBiCGStab	5.85478980e-03	1.18636990e-07	1	true	DILUPBiCGStab	5.45798730e-03	7.03347820e-08	1	true	DILUPBiCGStab	2.45275540e-04	3.38962740e-07	1	true	GAMG	4.82635130e-03	1.14926400e-05	2	true
0.0002          	DILUPBiCGStab	2.86986840e-03	1.83264280e-08	1	5.62949720e-02	5.05190440e-09	2	false	DILUPBiCGStab	5.73973770e-03	1.04902750e-07	1	true	DILUPBiCGStab	5.17768020e-03	6.01671080e-08	1	true	DILUPBiCGStab	2.59583640e-04	3.29140060e-07	1	true	GAMG	4.70036780e-03	9.19533100e-06	2	true
