step,sim_time_s,reactor_power_mw,prompt_power_mw,delayed_power_mw,fuel_temperature_k,bed_temperature_k
0,0.100000000,5.454879206,5.453036003,0.001843204,950.030013984,950.003471717
25,2.600000000,0.314434263,0.312543242,0.001891021,948.074311554,948.009492499
50,5.100000000,0.271140783,0.269513448,0.001627335,945.965508230,945.895031551
75,7.600000000,0.253346698,0.251843480,0.001503218,943.845384534,943.769928531
100,10.100000000,0.244551754,0.243118694,0.001433060,941.719245710,941.639060358
125,12.600000000,0.241978191,0.240578599,0.001399592,939.587983181,939.503143557
150,15.100000000,0.244229646,0.242836053,0.001393593,937.451199188,937.361677510
175,17.600000000,0.250539367,0.249129644,0.001409723,935.308548576,935.214252514
200,20.100000000,0.260555865,0.259110731,0.001445134,933.160222644,933.061008794
225,22.600000000,0.274226495,0.272727799,0.001498696,931.007007910,930.902683256
250,25.100000000,0.291735172,0.290164623,0.001570549,928.850207642,928.740525280
275,27.600000000,0.313476296,0.311814416,0.001661880,926.691550197,926.576201567
300,30.100000000,0.340055227,0.338280381,0.001774846,924.533117782,924.411721786
325,32.600000000,0.372310909,0.370398294,0.001912615,922.377290719,922.249379402
350,35.100000000,0.411359822,0.409280324,0.002079498,920.226729548,920.091730246
375,37.600000000,0.458663556,0.456382369,0.002281187,918.084388140,917.941601187
400,40.100000000,0.516124867,0.513599767,0.002525100,915.953608829,915.802180355
425,42.600000000,0.586220298,0.583399431,0.002820867,913.838273643,913.677160080
450,45.100000000,0.672181184,0.669000181,0.003181002,911.742994954,911.570916684
475,47.600000000,0.778239319,0.774617509,0.003621810,909.673362699,909.488743439
500,50.100000000,0.909958970,0.905794358,0.004164611,907.636270018,907.437157311
525,52.600000000,1.074683031,1.069845624,0.004837406,905.640345254,905.424305772
550,55.100000000,1.282126753,1.276449664,0.005677089,903.696526454,903.460507680
575,57.600000000,1.545154784,1.538422394,0.006732389,901.818824099,901.558971185
600,60.100000000,1.880769533,1.872701836,0.008067698,900.025326950,899.736740182
625,62.600000000,2.311307804,2.301539923,0.009767881,898.339510082,898.015924555
650,65.100000000,2.865763067,2.853819044,0.011944022,896.791893665,896.425259258
675,67.600000000,3.580981135,3.566241547,0.014739588,895.422057016,895.001995177
700,70.100000000,4.502159783,4.483824145,0.018335638,894.280901978,893.794019717
725,72.600000000,5.681569472,5.658617310,0.022952162,893.432834176,892.861891437
