# NJOY2016 2016.79 `acer iopt=2 iwt=2` (IFENG=2, continuous S(a,b)) on
# reference-data/endf/tsl-013_Al_027-ENDF8.0.endf, MAT 53, 20 K, paired with
# n-013_Al_027-ENDF8.0.endf MAT 1325. Deck and full comparison:
# verification_and_validation/acer_thermal_ifeng_vs_njoy2016.md
# One row per incident energy: the ITXE locator/count table NJOY wrote.
e_in_mev,itxe_offset,n_points
1.00000000000E-11,425,49
1.78000000000E-11,1356,49
2.50000000000E-11,2287,49
3.50000000000E-11,3218,49
5.00000000000E-11,4149,49
7.00000000000E-11,5080,49
1.00000000000E-10,6011,49
1.26000000000E-10,6942,49
1.60000000000E-10,7873,48
2.00000000000E-10,8785,48
2.53000000000E-10,9697,48
2.97000000000E-10,10609,49
3.50000000000E-10,11540,49
4.20000000000E-10,12471,49
5.06000000000E-10,13402,49
6.15000000000E-10,14333,50
7.50000000000E-10,15283,50
8.70000000000E-10,16233,49
1.01200000000E-09,17164,49
1.23000000000E-09,18095,50
1.50000000000E-09,19045,50
1.80000000000E-09,19995,51
2.03000000000E-09,20964,51
2.27700000000E-09,21933,52
2.60000000000E-09,22921,52
3.00000000000E-09,23909,52
3.50000000000E-09,24897,53
4.04800000000E-09,25904,54
4.50000000000E-09,26930,54
5.00000000000E-09,27956,55
5.60000000000E-09,29001,56
6.32500000000E-09,30065,58
7.20000000000E-09,31167,58
8.10000000000E-09,32269,60
9.10800000000E-09,33409,61
1.00000000000E-08,34568,62
1.06300000000E-08,35746,63
1.15000000000E-08,36943,63
1.23970000000E-08,38140,65
1.33000000000E-08,39375,67
1.41700000000E-08,40648,68
1.50000000000E-08,41940,69
1.61920000000E-08,43251,71
1.82000000000E-08,44600,75
1.99000000000E-08,46025,75
2.04930000000E-08,47450,76
2.15000000000E-08,48894,78
2.28000000000E-08,50376,80
2.53000000000E-08,51896,83
2.80000000000E-08,53473,84
3.06130000000E-08,55069,87
3.38000000000E-08,56722,89
3.65000000000E-08,58413,93
3.95000000000E-08,60180,94
4.27570000000E-08,61966,99
4.65000000000E-08,63847,99
5.00000000000E-08,65728,99
5.69250000000E-08,67609,101
6.25000000000E-08,69528,103
6.90000000000E-08,71485,106
7.50000000000E-08,73499,109
8.19720000000E-08,75570,110
9.00000000000E-08,77660,112
9.60000000000E-08,79788,114
1.03500000000E-07,81954,117
1.11573000000E-07,84177,117
1.20000000000E-07,86400,119
1.28000000000E-07,88661,121
1.35500000000E-07,90960,122
1.45728000000E-07,93278,124
1.60000000000E-07,95634,126
1.72000000000E-07,98028,129
1.84437000000E-07,100479,131
2.00000000000E-07,102968,134
2.27700000000E-07,105514,136
2.51039200000E-07,108098,137
2.70530400000E-07,110701,139
2.90750100000E-07,113342,138
3.01133200000E-07,115964,137
3.20642100000E-07,118567,138
3.57681300000E-07,121189,139
3.90000000000E-07,123830,140
4.17035100000E-07,126490,143
4.50000000000E-07,129207,144
5.03257500000E-07,131943,146
5.60000000000E-07,134717,156
6.25000000000E-07,137681,157
7.00000000000E-07,140664,152
7.80000000000E-07,143552,145
8.60000000000E-07,146307,145
9.50000000000E-07,149062,150
1.05000000000E-06,151912,153
1.16000000000E-06,154819,160
1.28000000000E-06,157859,161
1.42000000000E-06,160918,160
1.55000000000E-06,163958,162
1.70000000000E-06,167036,162
1.85500000000E-06,170114,151
2.02000000000E-06,172983,152
2.18000000000E-06,175871,154
2.36000000000E-06,178797,153
2.59000000000E-06,181704,175
2.85500000000E-06,185029,180
3.12000000000E-06,188449,200
3.42000000000E-06,192249,210
3.75000000000E-06,196239,212
