# NJOY2016 2016.79 thermal ACE for Al-27, ENDF/B-VIII.0 tsl (MAT 53) at its own
# base temperature T0 = 20 K. Produced by reconr+broadr+thermr+acer iopt=2 with
# iwt=1 (required: aceth.f90:674-676 gives IFENG=0 only for iwt=1).
# NXS: IDPNI=3 NIL=15 NIEB=16 IDPNC=4 NCL=-1 IFENG=0
# block,index,x,y   -- inel: x=E[MeV] y=sigma[b]; bragg: x=E[MeV] y=cumulative S[eV-b]
inel,0,1.000000000e-11,8.760836000e-04
inel,1,1.780000000e-11,6.602126480e-04
inel,2,2.500000000e-11,5.596709000e-04
inel,3,3.500000000e-11,4.762826000e-04
inel,4,5.000000000e-11,4.025638000e-04
inel,5,7.000000000e-11,3.448485000e-04
inel,6,1.000000000e-10,2.944478000e-04
inel,7,1.260000000e-10,2.669634040e-04
inel,8,1.600000000e-10,2.424061200e-04
inel,9,2.000000000e-10,2.225924000e-04
inel,10,2.530000000e-10,2.049301040e-04
inel,11,2.970000000e-10,1.946768933e-04
inel,12,3.500000000e-10,1.855945000e-04
inel,13,4.200000000e-10,1.772363733e-04
inel,14,5.060000000e-10,1.705441520e-04
inel,15,6.150000000e-10,1.657069720e-04
inel,16,7.500000000e-10,1.631376000e-04
inel,17,8.700000000e-10,1.628652040e-04
inel,18,1.012000000e-09,1.644336664e-04
inel,19,1.230000000e-09,1.695326640e-04
inel,20,1.500000000e-09,1.789977000e-04
inel,21,1.800000000e-09,1.929253400e-04
inel,22,2.030000000e-09,2.055521200e-04
inel,23,2.277000000e-09,2.208373504e-04
inel,24,2.600000000e-09,2.436439200e-04
inel,25,3.000000000e-09,2.758759667e-04
inel,26,3.500000000e-09,3.230502000e-04
inel,27,4.048000000e-09,3.840858931e-04
inel,28,4.500000000e-09,4.426136667e-04
inel,29,5.000000000e-09,5.156544000e-04
inel,30,5.600000000e-09,6.170997400e-04
inel,31,6.325000000e-09,7.612987880e-04
inel,32,7.200000000e-09,9.693268000e-04
inel,33,8.100000000e-09,1.228579280e-03
inel,34,9.108000000e-09,1.576743262e-03
inel,35,1.000000000e-08,1.942667000e-03
inel,36,1.063000000e-08,2.236647608e-03
inel,37,1.150000000e-08,2.695243200e-03
inel,38,1.239700000e-08,3.235108712e-03
inel,39,1.330000000e-08,3.854147000e-03
inel,40,1.417000000e-08,4.534811341e-03
inel,41,1.500000000e-08,5.262182000e-03
inel,42,1.619200000e-08,6.500282915e-03
inel,43,1.820000000e-08,9.353306960e-03
inel,44,1.990000000e-08,1.268587120e-02
inel,45,2.049300000e-08,1.402370792e-02
inel,46,2.150000000e-08,1.648466491e-02
inel,47,2.280000000e-08,2.001426566e-02
inel,48,2.530000000e-08,2.787010000e-02
inel,49,2.800000000e-08,3.699116256e-02
inel,50,3.061300000e-08,4.615117696e-02
inel,51,3.380000000e-08,5.766605946e-02
inel,52,3.650000000e-08,6.827073407e-02
inel,53,3.950000000e-08,8.098455083e-02
inel,54,4.275700000e-08,9.402145639e-02
inel,55,4.650000000e-08,1.085035768e-01
inel,56,5.000000000e-08,1.217625000e-01
inel,57,5.692500000e-08,1.474781112e-01
inel,58,6.250000000e-08,1.677626000e-01
inel,59,6.900000000e-08,1.908693072e-01
inel,60,7.500000000e-08,2.116777000e-01
inel,61,8.197200000e-08,2.352438484e-01
inel,62,9.000000000e-08,2.615559570e-01
inel,63,9.600000000e-08,2.806605903e-01
inel,64,1.035000000e-07,3.038618019e-01
inel,65,1.115730000e-07,3.277377034e-01
inel,66,1.200000000e-07,3.522305481e-01
inel,67,1.280000000e-07,3.747103059e-01
inel,68,1.355000000e-07,3.952223048e-01
inel,69,1.457280000e-07,4.221950228e-01
inel,70,1.600000000e-07,4.579456519e-01
inel,71,1.720000000e-07,4.863226447e-01
inel,72,1.844370000e-07,5.143640625e-01
inel,73,2.000000000e-07,5.476091000e-01
inel,74,2.277000000e-07,6.019557209e-01
inel,75,2.510392000e-07,6.434774843e-01
inel,76,2.705304000e-07,6.754872283e-01
inel,77,2.907501000e-07,7.062389400e-01
inel,78,3.011332000e-07,7.211514901e-01
inel,79,3.206421000e-07,7.476985016e-01
inel,80,3.576813000e-07,7.938437991e-01
inel,81,3.900000000e-07,8.299347610e-01
inel,82,4.170351000e-07,8.570210930e-01
inel,83,4.500000000e-07,8.870658879e-01
inel,84,5.032575000e-07,9.298173767e-01
inel,85,5.600000000e-07,9.674679813e-01
inel,86,6.250000000e-07,1.003618000e+00
inel,87,7.000000000e-07,1.037965387e+00
inel,88,7.800000000e-07,1.068217282e+00
inel,89,8.600000000e-07,1.093540391e+00
inel,90,9.500000000e-07,1.117263696e+00
inel,91,1.050000000e-06,1.138122924e+00
inel,92,1.160000000e-06,1.157083928e+00
inel,93,1.280000000e-06,1.174010549e+00
inel,94,1.420000000e-06,1.189894524e+00
inel,95,1.550000000e-06,1.201510078e+00
inel,96,1.700000000e-06,1.213073613e+00
inel,97,1.855000000e-06,1.224044623e+00
inel,98,2.020000000e-06,1.235013471e+00
inel,99,2.180000000e-06,1.244799003e+00
inel,100,2.360000000e-06,1.253866896e+00
inel,101,2.590000000e-06,1.265694307e+00
inel,102,2.855000000e-06,1.273828760e+00
inel,103,3.120000000e-06,1.279972880e+00
inel,104,3.420000000e-06,1.285543013e+00
inel,105,3.750000000e-06,1.289590000e+00
bragg,0,3.759019000e-09,5.370724709e-09
bragg,1,5.012025000e-09,8.829864875e-09
bragg,2,1.002406000e-08,1.355979656e-08
bragg,3,1.378308000e-08,2.142596326e-08
bragg,4,1.503608000e-08,2.391533632e-08
bragg,5,2.004811000e-08,2.547868189e-08
bragg,6,2.380712000e-08,3.107402912e-08
bragg,7,2.506013000e-08,3.648196087e-08
bragg,8,3.007215000e-08,4.125520071e-08
bragg,9,3.383117000e-08,4.710584448e-08
bragg,10,4.009620000e-08,4.903805356e-08
bragg,11,4.385522000e-08,5.624396881e-08
bragg,12,4.510823000e-08,6.064742883e-08
bragg,13,5.012025000e-08,6.387870971e-08
bragg,14,5.387927000e-08,6.691751455e-08
bragg,15,5.513227000e-08,6.989641624e-08
bragg,16,6.014430000e-08,7.081558286e-08
bragg,17,6.390332000e-08,7.603268136e-08
bragg,18,6.515632000e-08,7.859435491e-08
bragg,19,7.016835000e-08,8.336778849e-08
bragg,20,7.392736000e-08,9.016949670e-08
bragg,21,8.019239000e-08,9.069133808e-08
bragg,22,8.395141000e-08,9.268025785e-08
bragg,23,8.520442000e-08,9.659582493e-08
bragg,24,9.021644000e-08,9.935518494e-08
bragg,25,9.397546000e-08,1.034558924e-07
bragg,26,9.522847000e-08,1.051870825e-07
bragg,27,1.002406000e-07,1.068185887e-07
bragg,28,1.039996000e-07,1.115038991e-07
bragg,29,1.052526000e-07,1.145828220e-07
bragg,30,1.102646000e-07,1.160369518e-07
bragg,31,1.140236000e-07,1.188258179e-07
bragg,32,1.202887000e-07,1.201274049e-07
bragg,33,1.240477000e-07,1.238767002e-07
bragg,34,1.253007000e-07,1.254179815e-07
bragg,35,1.303127000e-07,1.289252998e-07
bragg,36,1.340717000e-07,1.322966979e-07
bragg,37,1.353247000e-07,1.337757058e-07
bragg,38,1.440958000e-07,1.358024959e-07
bragg,39,1.453488000e-07,1.388042959e-07
bragg,40,1.503608000e-07,1.407065991e-07
bragg,41,1.541198000e-07,1.425386988e-07
bragg,42,1.603849000e-07,1.429692009e-07
bragg,43,1.641439000e-07,1.471184023e-07
bragg,44,1.653969000e-07,1.487579057e-07
bragg,45,1.704089000e-07,1.503195993e-07
bragg,46,1.741679000e-07,1.525789005e-07
bragg,47,1.754209000e-07,1.540671945e-07
bragg,48,1.804330000e-07,1.549538937e-07
bragg,49,1.841920000e-07,1.565513933e-07
bragg,50,1.854450000e-07,1.572280041e-07
bragg,51,1.904570000e-07,1.591644959e-07
bragg,52,1.942160000e-07,1.616577074e-07
bragg,53,2.004811000e-07,1.622459060e-07
bragg,54,2.042401000e-07,1.628141009e-07
bragg,55,2.054931000e-07,1.650609969e-07
bragg,56,2.105051000e-07,1.661342035e-07
bragg,57,2.142641000e-07,1.687273008e-07
bragg,58,2.155171000e-07,1.692401045e-07
bragg,59,2.205292000e-07,1.697302106e-07
bragg,60,2.242882000e-07,1.720996105e-07
bragg,61,2.255412000e-07,1.735053042e-07
bragg,62,2.305532000e-07,1.744015993e-07
bragg,63,2.343122000e-07,1.752684076e-07
bragg,64,2.405773000e-07,1.754051019e-07
bragg,65,2.443363000e-07,1.769923046e-07
bragg,66,2.455893000e-07,1.778752954e-07
bragg,67,2.506013000e-07,1.791901039e-07
bragg,68,2.543603000e-07,1.806442941e-07
bragg,69,2.556133000e-07,1.813635921e-07
bragg,70,2.606253000e-07,1.817079070e-07
bragg,71,2.643844000e-07,1.827079951e-07
bragg,72,2.656374000e-07,1.836974000e-07
bragg,73,2.706494000e-07,1.849609880e-07
bragg,74,2.744084000e-07,1.861846999e-07
bragg,75,2.806734000e-07,1.867647115e-07
bragg,76,2.844325000e-07,1.881691078e-07
bragg,77,2.856855000e-07,1.887250126e-07
bragg,78,2.906975000e-07,1.889913982e-07
bragg,79,2.944565000e-07,1.895076099e-07
bragg,80,2.957095000e-07,1.902736864e-07
bragg,81,3.044806000e-07,1.913019030e-07
bragg,82,3.057336000e-07,1.920062957e-07
bragg,83,3.107456000e-07,1.929070152e-07
bragg,84,3.145046000e-07,1.944347007e-07
bragg,85,3.207696000e-07,1.944864898e-07
bragg,86,3.245287000e-07,1.952899158e-07
bragg,87,3.257817000e-07,1.960851058e-07
bragg,88,3.307937000e-07,1.968480865e-07
bragg,89,3.345527000e-07,1.972179134e-07
bragg,90,3.358057000e-07,1.974009965e-07
bragg,91,3.408177000e-07,1.977523133e-07
bragg,92,3.445767000e-07,1.986040861e-07
bragg,93,3.458298000e-07,1.992786123e-07
bragg,94,3.508418000e-07,1.996022851e-07
bragg,95,3.546008000e-07,2.000732889e-07
bragg,96,3.608658000e-07,2.002970827e-07
bragg,97,3.646248000e-07,2.008759955e-07
bragg,98,3.658779000e-07,2.011625964e-07
bragg,99,3.708899000e-07,2.018504859e-07
bragg,100,3.746489000e-07,2.029183862e-07
bragg,101,3.759019000e-07,2.032267011e-07
bragg,102,3.809139000e-07,2.033535900e-07
bragg,103,3.846729000e-07,2.037229986e-07
bragg,104,3.859259000e-07,2.042106832e-07
bragg,105,3.909380000e-07,2.044450147e-07
bragg,106,3.946970000e-07,2.051269122e-07
bragg,107,4.009620000e-07,2.052350060e-07
bragg,108,4.047210000e-07,2.056546861e-07
bragg,109,4.059740000e-07,2.060961925e-07
bragg,110,4.109861000e-07,2.062959113e-07
bragg,111,4.147451000e-07,2.065866080e-07
bragg,112,4.159981000e-07,2.068743991e-07
bragg,113,4.210101000e-07,2.070587876e-07
bragg,114,4.247691000e-07,2.075959156e-07
bragg,115,4.260221000e-07,2.077731935e-07
bragg,116,4.310342000e-07,2.081990876e-07
bragg,117,4.347932000e-07,2.086126904e-07
bragg,118,4.410582000e-07,2.086914067e-07
bragg,119,4.448172000e-07,2.089971835e-07
bragg,120,4.460702000e-07,2.094514149e-07
bragg,121,4.510823000e-07,2.098152933e-07
bragg,122,4.548413000e-07,2.101214889e-07
bragg,123,4.560943000e-07,2.102614791e-07
bragg,124,4.648653000e-07,2.107842914e-07
bragg,125,4.661183000e-07,2.109138230e-07
bragg,126,4.711304000e-07,2.111627183e-07
bragg,127,4.748894000e-07,2.113441137e-07
bragg,128,4.811544000e-07,2.114016812e-07
bragg,129,4.849134000e-07,2.116812831e-07
bragg,130,4.861664000e-07,2.117920234e-07
bragg,131,4.911785000e-07,2.120317875e-07
bragg,132,4.949375000e-07,2.124456857e-07
bragg,133,4.961905000e-07,2.125995183e-07
bragg,134,5.012025000e-07,2.126611229e-07
bragg,135,5.049615000e-07,2.127568932e-07
bragg,136,5.062145000e-07,2.130889183e-07
bragg,137,5.112265000e-07,2.131802236e-07
bragg,138,5.149856000e-07,2.134461846e-07
bragg,139,5.212506000e-07,2.135729987e-07
bragg,140,5.250096000e-07,2.139424095e-07
bragg,141,5.262626000e-07,2.141050972e-07
bragg,142,5.312746000e-07,2.142224037e-07
bragg,143,5.350337000e-07,2.142984925e-07
bragg,144,5.362867000e-07,2.144113912e-07
bragg,145,5.412987000e-07,2.144596761e-07
bragg,146,5.450577000e-07,2.146006082e-07
bragg,147,5.463107000e-07,2.147051858e-07
bragg,148,5.513227000e-07,2.149065808e-07
bragg,149,5.550818000e-07,2.150697184e-07
bragg,150,5.651058000e-07,2.152510031e-07
bragg,151,5.663588000e-07,2.153706768e-07
bragg,152,5.713708000e-07,2.154859836e-07
bragg,153,5.751299000e-07,2.157100032e-07
bragg,154,5.763829000e-07,2.157654803e-07
bragg,155,5.813949000e-07,2.158455892e-07
bragg,156,5.851539000e-07,2.160272923e-07
bragg,157,5.864069000e-07,2.161559165e-07
bragg,158,5.914189000e-07,2.162300834e-07
bragg,159,5.951779000e-07,2.163503806e-07
bragg,160,6.014430000e-07,2.163963045e-07
bragg,161,6.052020000e-07,2.164854760e-07
bragg,162,6.064550000e-07,2.165573179e-07
bragg,163,6.114670000e-07,2.166636703e-07
bragg,164,6.152260000e-07,2.168498771e-07
bragg,165,6.164790000e-07,2.168908131e-07
bragg,166,6.252501000e-07,2.169484043e-07
bragg,167,6.265031000e-07,2.170623989e-07
bragg,168,6.315151000e-07,2.171721066e-07
bragg,169,6.352741000e-07,2.172491944e-07
bragg,170,6.415392000e-07,2.172535292e-07
bragg,171,6.452982000e-07,2.173359175e-07
bragg,172,6.465512000e-07,2.174257936e-07
bragg,173,6.515632000e-07,2.174495097e-07
bragg,174,6.553222000e-07,2.175106782e-07
bragg,175,6.565752000e-07,2.175712937e-07
bragg,176,6.615873000e-07,2.175932181e-07
bragg,177,6.653463000e-07,2.177068317e-07
bragg,178,6.665993000e-07,2.177349957e-07
bragg,179,6.716113000e-07,2.178163052e-07
bragg,180,6.753703000e-07,2.179084974e-07
bragg,181,6.816354000e-07,2.179274260e-07
bragg,182,6.853944000e-07,2.179641237e-07
bragg,183,6.866474000e-07,2.179942760e-07
bragg,184,6.916594000e-07,2.180409917e-07
bragg,185,6.954184000e-07,2.180750738e-07
bragg,186,6.966714000e-07,2.180975101e-07
bragg,187,7.016835000e-07,2.181084222e-07
bragg,188,7.054425000e-07,2.181820782e-07
bragg,189,7.066955000e-07,2.182238956e-07
bragg,190,7.117075000e-07,2.182439661e-07
bragg,191,7.154665000e-07,2.182831054e-07
bragg,192,7.217316000e-07,2.182901041e-07
bragg,193,7.254906000e-07,2.183490922e-07
bragg,194,7.267436000e-07,2.183716262e-07
bragg,195,7.317556000e-07,2.184191679e-07
bragg,196,7.355146000e-07,2.184571772e-07
bragg,197,7.367676000e-07,2.184683180e-07
bragg,198,7.417796000e-07,2.184762714e-07
bragg,199,7.455387000e-07,2.184919701e-07
bragg,200,7.467917000e-07,2.185346260e-07
bragg,201,7.518037000e-07,2.185570040e-07
bragg,202,7.555627000e-07,2.185898047e-07
bragg,203,7.618277000e-07,2.186035636e-07
bragg,204,7.655868000e-07,2.186374267e-07
bragg,205,7.668398000e-07,2.186675130e-07
bragg,206,7.718518000e-07,2.186867637e-07
bragg,207,7.756108000e-07,2.187055700e-07
bragg,208,7.768638000e-07,2.187180012e-07
bragg,209,7.856349000e-07,2.187384329e-07
bragg,210,7.868879000e-07,2.187527903e-07
bragg,211,7.918999000e-07,2.187640104e-07
bragg,212,7.956589000e-07,2.187964109e-07
bragg,213,8.019239000e-07,2.187990019e-07
bragg,214,8.056830000e-07,2.188090005e-07
bragg,215,8.069360000e-07,2.188290199e-07
bragg,216,8.119480000e-07,2.188445880e-07
bragg,217,8.157070000e-07,2.188678920e-07
bragg,218,8.169600000e-07,2.188702014e-07
bragg,219,8.219720000e-07,2.188790606e-07
bragg,220,8.257311000e-07,2.189072599e-07
bragg,221,8.269841000e-07,2.189159230e-07
bragg,222,8.319961000e-07,2.189262954e-07
bragg,223,8.357551000e-07,2.189344060e-07
bragg,224,8.420201000e-07,2.189381931e-07
bragg,225,8.457791000e-07,2.189581691e-07
bragg,226,8.470322000e-07,2.189646847e-07
bragg,227,8.520442000e-07,2.189772339e-07
bragg,228,8.558032000e-07,2.189849767e-07
bragg,229,8.570562000e-07,2.189944860e-07
bragg,230,8.658272000e-07,2.190025917e-07
bragg,231,8.670802000e-07,2.190155276e-07
bragg,232,8.720923000e-07,2.190278125e-07
bragg,233,8.758513000e-07,2.190420895e-07
bragg,234,8.858753000e-07,2.190511827e-07
bragg,235,8.871283000e-07,2.190553975e-07
bragg,236,8.921404000e-07,2.190607037e-07
bragg,237,8.958994000e-07,2.190658588e-07
bragg,238,8.971524000e-07,2.190716971e-07
bragg,239,9.021644000e-07,2.190753780e-07
bragg,240,9.059234000e-07,2.190797276e-07
bragg,241,9.071764000e-07,2.190856407e-07
bragg,242,9.121885000e-07,2.190914407e-07
bragg,243,9.159475000e-07,2.191038015e-07
bragg,244,9.222125000e-07,2.191058857e-07
bragg,245,9.259715000e-07,2.191127286e-07
bragg,246,9.272245000e-07,2.191189122e-07
bragg,247,9.322366000e-07,2.191249163e-07
bragg,248,9.359956000e-07,2.191346347e-07
bragg,249,9.372486000e-07,2.191361269e-07
bragg,250,9.460196000e-07,2.191450619e-07
bragg,251,9.472726000e-07,2.191521791e-07
bragg,252,9.522847000e-07,2.191540394e-07
bragg,253,9.560437000e-07,2.191573391e-07
bragg,254,9.660677000e-07,2.191616354e-07
bragg,255,9.723328000e-07,2.191683831e-07
bragg,256,9.760918000e-07,2.191741906e-07
bragg,257,9.773448000e-07,2.191764128e-07
bragg,258,9.861158000e-07,2.191798172e-07
bragg,259,9.873688000e-07,2.191838277e-07
bragg,260,9.923808000e-07,2.191873458e-07
bragg,261,9.961399000e-07,2.191892290e-07
bragg,262,1.002406000e-06,2.191907070e-07
bragg,263,1.006165000e-06,2.191953594e-07
bragg,264,1.007418000e-06,2.191986426e-07
bragg,265,1.012430000e-06,2.192003081e-07
bragg,266,1.016189000e-06,2.192037551e-07
bragg,267,1.017442000e-06,2.192054370e-07
bragg,268,1.026213000e-06,2.192101799e-07
bragg,269,1.027466000e-06,2.192117205e-07
bragg,270,1.032478000e-06,2.192161420e-07
bragg,271,1.036237000e-06,2.192187352e-07
bragg,272,1.046261000e-06,2.192204517e-07
bragg,273,1.047514000e-06,2.192235204e-07
bragg,274,1.056285000e-06,2.192267760e-07
bragg,275,1.062550000e-06,2.192287162e-07
bragg,276,1.066309000e-06,2.192320641e-07
bragg,277,1.072572000e-06,2.192332878e-07
bragg,278,1.076333000e-06,2.192356856e-07
bragg,279,1.086357000e-06,2.192382493e-07
bragg,280,1.092622000e-06,2.192405045e-07
bragg,281,1.096381000e-06,2.192423218e-07
bragg,282,1.106405000e-06,2.192441084e-07
bragg,283,1.107658000e-06,2.192455047e-07
bragg,284,1.112670000e-06,2.192470616e-07
bragg,285,1.116429000e-06,2.192487927e-07
bragg,286,1.126453000e-06,2.192513475e-07
bragg,287,1.132716000e-06,2.192525867e-07
bragg,288,1.136477000e-06,2.192540297e-07
bragg,289,1.146501000e-06,2.192560487e-07
bragg,290,1.152767000e-06,2.192577820e-07
bragg,291,1.156526000e-06,2.192591721e-07
bragg,292,1.167803000e-06,2.192609690e-07
bragg,293,1.172815000e-06,2.192622209e-07
bragg,294,1.182839000e-06,2.192634568e-07
bragg,295,1.192863000e-06,2.192649195e-07
bragg,296,1.206646000e-06,2.192661605e-07
bragg,297,1.216670000e-06,2.192680241e-07
bragg,298,1.227947000e-06,2.192697068e-07
bragg,299,1.242983000e-06,2.192711507e-07
bragg,300,1.256766000e-06,2.192724884e-07
bragg,301,1.273055000e-06,2.192740485e-07
bragg,302,1.293103000e-06,2.192753550e-07
bragg,303,1.313149000e-06,2.192765797e-07
bragg,304,1.336958000e-06,2.192779577e-07
bragg,305,1.368282000e-06,2.192792314e-07
bragg,306,1.408380000e-06,2.192805409e-07
bragg,307,1.468524000e-06,2.192817659e-07
bragg,308,1.587560000e-06,2.192829950e-07
