# NJOY2016 0 K U-235 ESZ at grid energies this port also chose.
# Oracle for tests/acer_ce_esz_vs_njoy2016.rs. Columns are MeV and barns.
# 17 significant digits: f64 needs that to round-trip exactly, and the test
# matches grid energies by EXACT equality.
energy_mev,total_b,absorption_b,elastic_b
3.65700000000000027e-11,1.91841785999999993e4,2.99235348999999997e3,1.41791000000000000e1
1.13420000000000008e-6,1.59833537000000007e2,3.63576424999999972e1,1.27670600000000007e1
1.30600000000000007e-6,4.80474215999999998e1,1.17152195999999993e1,1.27870100000000004e1
2.02501000000000012e-5,4.49146082000000035e1,1.31591201000000009e1,1.16875599999999995e1
3.08659999999999989e-5,3.62860794999999996e2,2.22462007999999997e2,1.13189799999999998e1
3.51716000000000005e-5,1.18885073000000011e3,3.53872208000000001e2,3.77008200000000002e1
4.94336000000000005e-5,5.31072342000000049e2,3.85332005999999978e2,1.87470299999999988e1
5.28309000000000027e-5,3.05902873000000000e1,4.47269222999999982e0,1.22004999999999999e1
6.42981299999999956e-5,6.19989349999999945e2,5.18332206000000042e2,2.67831800000000015e1
6.49999999999999943e-5,1.57325602999999994e1,9.23902819000000042e-1,1.14677799999999994e1
7.49999999999999934e-5,4.79167076000000023e1,5.80826321999999973e0,1.12970199999999998e1
7.80838999999999996e-5,1.47053269000000000e2,4.26386751000000004e1,1.11655200000000008e1
8.45753999999999967e-5,6.11365990999999980e1,1.27063649000000005e1,1.30515399999999993e1
8.50000000000000061e-5,7.46303510000000045e1,6.28780688999999970e0,1.17017000000000007e1
9.32225999999999975e-5,4.35977527000000009e1,9.48901867999999915e0,1.13171300000000006e1
9.40716600000000066e-5,9.54551888999999960e2,7.50239104999999995e2,6.52819800000000043e1
9.65789000000000046e-5,3.54193314999999984e1,2.82732758999999989e0,1.14662400000000009e1
9.80423999999999949e-5,1.62157519000000008e2,4.18225444999999993e1,9.47437099999999965e0
1.00000000000000005e-4,1.69228884000000015e1,1.28465549999999995e0,1.00125100000000007e1
1.00316000000000007e-4,9.41353983999999997e1,3.79023345000000020e1,1.16270900000000008e1
1.07621700000000000e-4,1.11561340999999993e3,7.46581103999999982e2,1.23505600000000001e2
1.08877100000000002e-4,2.41392038000000014e2,1.48740904000000000e2,1.43779699999999995e1
1.09814099999999996e-4,4.58057898000000023e2,3.98300303999999983e2,2.37438700000000011e1
1.12792699999999995e-4,1.31689157999999992e2,1.05911503999999994e2,1.06740399999999998e1
1.21015999999999995e-4,4.31866167000000019e1,1.50323040999999993e1,8.42432900000000018e0
1.22887600000000006e-4,1.36454572000000013e2,1.21162704000000005e2,1.20681700000000003e1
1.25568900000000010e-4,5.48183488000000011e2,4.68248504000000025e2,3.29720500000000030e1
1.27746300000000000e-4,6.52449574000000041e1,2.57139239999999987e1,1.11585999999999999e1
1.33605300000000013e-4,7.09108137000000056e2,3.77327703999999983e2,5.32478300000000004e1
1.39125999999999996e-4,7.79935169999999971e1,4.07799437999999981e1,1.11127500000000001e1
1.40328900000000011e-4,6.70023470000000003e1,3.04017738000000008e1,1.04852699999999999e1
1.45791099999999994e-4,2.64300326999999982e2,1.99010704000000004e2,1.93037600000000005e1
1.47326999999999994e-4,3.03076446999999973e2,1.32039704000000000e2,2.30048400000000015e1
1.48098799999999992e-4,1.37433406999999992e1,1.33909466999999993e0,1.05885599999999993e1
1.49999999999999987e-4,6.74493566999999956e1,1.15226635999999996e1,1.31166499999999999e1
