# NJOY2016 2016.79 ac5adf5 -- band integrals of the ESZ columns over
# equal-lethargy bands (20/decade) lying wholly BELOW thnmax
# = 2.250000e-3 MeV, i.e. the bands that actually test Doppler broadening.
# MAT 9228, 293.6 K. Integrals in barn*MeV; energies in MeV.
e_lo_mev,e_hi_mev,total,absorption,elastic
1.00000000000009978e-11,1.12178204632517046e-11,4.34128246422907404e-8,6.76723262260948734e-9,6.44455785201311831e-11
1.12178204632517046e-11,1.25839495945736100e-11,4.59797828456300047e-8,7.16733974360173533e-9,6.85116434594797562e-11
1.25839495945736100e-11,1.41164487270521735e-11,4.87000297670844111e-8,7.59133340350501441e-9,7.28675968541343166e-11
1.41164487270521735e-11,1.58355787398753537e-11,5.15827285292718247e-8,8.04064051906200520e-9,7.75393746018685158e-11
1.58355787398753537e-11,1.77640679235589644e-11,5.46326237964248719e-8,8.51599935971678701e-9,8.25489900115766387e-11
1.77640679235589644e-11,1.99274124663473055e-11,5.78628571628423860e-8,9.01945358615378260e-9,8.79330424111995074e-11
1.99274124663473055e-11,2.23542135344625592e-11,6.12835935392983872e-8,9.55258813108794117e-9,9.37271629823388857e-11
2.23542135344625592e-11,2.50765554026767283e-11,6.49083919411923625e-8,1.01175138280903858e-8,9.99754998849425763e-11
2.50765554026767283e-11,2.81304296343984026e-11,6.87526018484958415e-8,1.07166190432769037e-8,1.06729032641054182e-10
2.81304296343984026e-11,3.15562109192785030e-11,7.28149322440201455e-8,1.13496933593434548e-8,1.14020600681623380e-10
3.15562109192785030e-11,3.53991908592933855e-11,7.71195557570928238e-8,1.20205086799116718e-8,1.21924707897671846e-10
3.53991908592933855e-11,3.97101767603894382e-11,8.16832171632779063e-8,1.27316608244129409e-8,1.30512266925160544e-10
3.97101767603894382e-11,4.45461633461994549e-11,8.65175157475082387e-8,1.34849555261594185e-8,1.39855222719347348e-10
4.45461633461994549e-11,4.99710862744299279e-11,9.16320034302650040e-8,1.42818754916695337e-8,1.50032063974439990e-10
4.99710862744299279e-11,5.60566674180160392e-11,9.70496370976825052e-8,1.51259825765446952e-8,1.61150554071783823e-10
5.60566674180160392e-11,6.28833630863452641e-11,1.02788438983529429e-7,1.60200807380524735e-8,1.73324107133704157e-10
6.28833630863452641e-11,7.05414277228020379e-11,1.08869903682600586e-7,1.69675072769872864e-8,1.86684975491123035e-10
7.05414277228020379e-11,7.91321071415760820e-11,1.15314728497722519e-7,1.79714749811998044e-8,2.01380795806921803e-10
7.91321071415760820e-11,8.87689770792909534e-11,1.22133283671084663e-7,1.90335789422531996e-8,2.17564119329554755e-10
8.87689770792909534e-11,9.95794447581892346e-11,1.29355033235079194e-7,2.01583964170417651e-8,2.35434186541247030e-10
9.95794447581892346e-11,1.11706433312754634e-10,1.37003755022191825e-7,2.13496079210296129e-8,2.55206615132373359e-10
1.11706433312754634e-10,1.25310271349255571e-10,1.45105357599320517e-7,2.26112281743832452e-8,2.77126851376302066e-10
1.25310271349255571e-10,1.40570812619716234e-10,1.53689649886001723e-7,2.39478715995003623e-8,3.01475458893001058e-10
1.40570812619716234e-10,1.57689813834121630e-10,1.62788675285077807e-7,2.53644977673301886e-8,3.28570025358000193e-10
1.57689813834121630e-10,1.76893602047458526e-10,1.72413683124201592e-7,2.68628327654780605e-8,3.58741326336715911e-10
1.76893602047458526e-10,1.98436066886608582e-10,1.82608108848235745e-7,2.84495847777947864e-8,3.92401685170004402e-10
1.98436066886608582e-10,2.22602017176755889e-10,1.93416155867433547e-7,3.01316021322228492e-8,4.30010519988788898e-10
2.22602017176755889e-10,2.49710946344627043e-10,2.04851187342023198e-7,3.19109262407295528e-8,4.72045838045269452e-10
2.49710946344627043e-10,2.80121256380242584e-10,2.16961712692660738e-7,3.37950304815765411e-8,5.19083470611746882e-10
2.80121256380242584e-10,3.14234996201374818e-10,2.29786478987789525e-7,3.57898923575718387e-8,5.71753764132869083e-10
3.14234996201374818e-10,3.52503177065725176e-10,2.43370585577652640e-7,3.79024561702666164e-8,6.30766082524179168e-10
3.52503177065725176e-10,3.95431735304873621e-10,2.57756717819977129e-7,4.01392746643291988e-8,6.96908293361024313e-10
3.95431735304873621e-10,4.43588221212170164e-10,2.73010276151609557e-7,4.25104384552787356e-8,7.71079668253554100e-10
4.43588221212170164e-10,4.97609302517080914e-10,2.89146676540393816e-7,4.50182113731909748e-8,8.54238078633485497e-10
4.97609302517080914e-10,5.58209181647995704e-10,3.06219370876311425e-7,4.76707765276900236e-8,9.47491882648518690e-10
5.58209181647995704e-10,6.26189038066525133e-10,3.24307361053004496e-7,5.04802746148948801e-8,1.05209655599443320e-9
6.26189038066525133e-10,7.02447620508586453e-10,3.43466914301111974e-7,5.34552487427711895e-8,1.16943445125212990e-9
7.02447620508586453e-10,7.87993129170289735e-10,3.63769038001405531e-7,5.66065183421732763e-8,1.30106386100258083e-9
7.87993129170289735e-10,8.83956544930734202e-10,3.85235289288422856e-7,5.99371160038907796e-8,1.44869442450562109e-9
8.83956544930734202e-10,9.91606581834827340e-10,4.07961097263290203e-7,6.34615340706770178e-8,1.61429528805977840e-9
