id,x,y,z,vx,vy,vz
1,-2.96163795837759869e-1,-2.47067015517861671e-1,-1.56553152802052647e-2,0,0,0
2,-3.46805648862517080e-1,5.77799095424682996e-1,1.37989864107408167e0,0,0,0
3,-1.33503059438596305e-1,7.62298353390502004e-1,1.01596505343846899e0,0,0,0
4,7.99625927460884012e-1,-2.17569837179258513e-1,1.17072269887788249e0,0,0,0
5,-5.33165437883947213e-1,1.65389073847753004e-1,1.03428094536357276e-1,0,0,0
6,2.77339983776073884e-1,-6.37318646708843306e-1,7.69627362243393676e-1,0,0,0
7,-5.08572096278445906e-1,-5.88607072724082303e-1,5.61679880758367833e-1,0,0,0
8,1.92363169664438900e-2,1.15089585247459450e-1,1.64038215135984533e0,0,0,0
9,-5.98882900598754375e-1,3.08356725361535355e-1,1.57698211781087627e0,0,0,0
10,4.72145677482112669e-1,4.55710875652319491e-1,8.25429140115905402e-1,0,0,0
11,1.97170529555218688e-1,-6.13599232558373897e-1,1.56150205678122811e0,0,0,0
12,-5.44391140373493787e-1,-4.31809360048287572e-1,1.08469289449417361e0,0,0,0
13,-5.20317332299094382e-1,3.62486931943346302e-1,1.52540711155363673e0,0,0,0
14,-7.17542023005871887e-1,7.54751611911134990e-2,1.30501212165924829e0,0,0,0
15,-6.62120252508251461e-1,5.64444905893215498e-1,8.74825552279367147e-2,0,0,0
16,2.80956981012272733e-1,-6.84691348932342514e-1,7.33089366848376556e-1,0,0,0
17,5.53313767619342478e-1,2.51506341017565319e-2,9.94104937570533087e-1,0,0,0
18,6.40831856112090037e-1,3.89776038175908834e-1,8.77393016320155206e-1,0,0,0
19,-3.48225675328365902e-1,5.05809364680934626e-1,4.13327777073013436e-1,0,0,0
20,7.24620213925206036e-1,-2.80857792465896372e-1,1.13716671079298615e0,0,0,0
21,6.98293976548845952e-1,-3.53068715244421794e-1,1.17400613905115336e0,0,0,0
22,2.26973341082626651e-1,-8.39965603424665863e-1,2.68900493355595682e-1,0,0,0
23,2.25348770297909978e-1,-3.84918677550319999e-1,4.06730815305601998e-2,0,0,0
24,-3.29378914452194915e-1,5.03074565841091781e-1,3.51155861069294917e-1,0,0,0
25,3.86418964718402369e-1,1.61405891554013775e-1,1.20362795219738694e0,0,0,0
26,4.34567368955522226e-1,6.65911177803248933e-1,2.41045204445232947e-1,0,0,0
27,-1.82089509971129382e-1,5.10612641757043351e-1,2.94523496662256690e-1,0,0,0
28,5.84142220948291047e-1,8.11906073998640704e-2,2.01465278761048888e-1,0,0,0
29,7.23280177911969080e-1,-4.83541867355036570e-1,1.45411104945314262e0,0,0,0
30,-4.46314002961716805e-1,2.07550910362213126e-1,1.19274848943954481e0,0,0,0
31,3.37777439111500676e-3,1.11351564013381685e-1,1.48126257931006622e0,0,0,0
32,4.53983661218908707e-1,6.79718191857287657e-1,4.45358403775490852e-1,0,0,0
33,4.39944821003297015e-1,-2.67200272852232759e-2,2.89228183823113938e-1,0,0,0
34,-2.78830021949395768e-1,1.56025979859061355e-2,1.44380582187445783e0,0,0,0
35,-4.56649232556502582e-1,6.13144208420598913e-1,1.64939371674856228e-2,0,0,0
36,3.78374182859415875e-1,-3.98396621819728125e-1,-1.64797710511293549e-1,0,0,0
37,-4.91796248362344590e-1,6.26452069778516418e-2,9.04650511972948435e-1,0,0,0
38,-4.41049389312501261e-1,-2.82392795959125642e-1,2.45624109259370421e-1,0,0,0
39,-5.82066571794118248e-1,-4.94550273965776666e-1,1.66631498945982415e0,0,0,0
40,-3.13273511281846495e-1,7.40452623932588982e-2,9.83819354365985776e-1,0,0,0
41,3.59209832034269039e-1,-9.77874692426857761e-2,1.48636001012437124e0,0,0,0
42,1.41194385576077237e-2,-2.19562630100254119e-1,-4.33127934261617054e-1,0,0,0
43,6.03795906475550814e-1,-3.16661388261931409e-1,7.28288333396355569e-1,0,0,0
44,-6.88285976343509964e-1,5.32283953393311471e-1,6.88818931008906343e-1,0,0,0
45,-3.51802680633661935e-1,-4.51807160753265435e-1,4.76499698910378910e-1,0,0,0
46,5.28623268072134556e-1,-4.03233834311016504e-1,1.29104777863563558e0,0,0,0
47,-4.05199217598777528e-1,-5.05055232245885527e-2,-6.04329255628315715e-2,0,0,0
48,-2.08313415863243062e-1,2.62266445003652537e-1,8.60323742607032926e-1,0,0,0
49,6.89875180093874829e-1,-9.55019028981465290e-2,6.59780800342589013e-1,0,0,0
50,6.60104341743478484e-2,-1.45615603489084089e-1,1.30387531452137173e0,0,0,0
51,3.49981973421900835e-2,5.34626616416907119e-1,2.25756194105178914e-1,0,0,0
