phase,step,phi_bulk,phi_whole_core,surface_height,core_ke_per_pebble_over_edrop,all_ke_per_pebble_over_edrop
presettle,500,0.572020,0.569875,2.148932,7.642053e-2,7.642053e-2
presettle,1000,0.570604,0.570569,2.146005,2.204502e-1,2.207336e-1
presettle,1500,0.569280,0.566796,2.140138,4.506612e-1,4.612441e-1
presettle,2000,0.568390,0.563920,2.131191,7.779305e-1,7.971919e-1
presettle,2500,0.567734,0.565329,2.119278,1.195266e0,1.219109e0
presettle,3000,0.567319,0.564827,2.104244,1.684120e0,1.718198e0
presettle,3500,0.567718,0.565119,2.086247,2.239025e0,2.284404e0
presettle,4000,0.568629,0.566233,2.065188,2.835820e0,2.888141e0
presettle,4500,0.570463,0.567863,2.041414,3.433677e0,3.496321e0
presettle,5000,0.573425,0.571206,2.014530,3.952335e0,4.027358e0
presettle,5500,0.577797,0.575177,1.984705,4.221416e0,4.335215e0
presettle,6000,0.584015,0.581090,1.951580,3.967123e0,4.057201e0
presettle,6500,0.592890,0.589317,1.915588,2.623458e0,2.750038e0
presettle,7000,0.600521,0.596682,1.886655,4.400563e-1,6.864595e-1
presettle,7500,0.599494,0.596116,1.885613,1.246960e-1,3.702688e-1
presettle,8000,0.596077,0.592775,1.894367,2.540567e-1,3.582033e-1
presettle,8500,0.592769,0.589396,1.903645,1.275551e-1,1.839589e-1
presettle,9000,0.590018,0.586993,1.909619,5.198211e-2,7.885061e-2
presettle,9500,0.588246,0.585427,1.913436,4.475745e-2,5.435724e-2
presettle,10000,0.587798,0.584736,1.914254,7.892038e-2,7.763383e-2
presettle,10500,0.588570,0.585127,1.911912,1.384407e-1,1.303132e-1
presettle,11000,0.590430,0.586635,1.906543,2.031012e-1,1.879185e-1
presettle,11500,0.593369,0.589100,1.898036,2.448439e-1,2.245511e-1
presettle,12000,0.597432,0.592517,1.886565,2.155073e-1,1.969573e-1
presettle,12500,0.601540,0.596598,1.873289,6.532780e-2,5.971437e-2
presettle,13000,0.602044,0.597649,1.869696,8.493605e-3,7.796065e-3
presettle,13500,0.601488,0.597392,1.870650,2.001314e-2,1.832758e-2
presettle,14000,0.600848,0.596925,1.872262,1.029707e-2,9.416697e-3
presettle,14500,0.600541,0.596713,1.873076,7.683843e-4,7.086395e-4
presettle,15000,0.600811,0.596938,1.872296,4.796547e-3,4.381061e-3
presettle,15500,0.601375,0.597482,1.870443,5.962501e-3,5.446708e-3
presettle,16000,0.601685,0.597878,1.869202,1.147086e-3,1.051439e-3
presettle,16500,0.601697,0.597924,1.869060,5.909685e-4,5.416030e-4
presettle,17000,0.601546,0.597795,1.869464,3.933487e-4,3.604827e-4
presettle,17500,0.601524,0.597896,1.869146,1.705859e-4,1.579603e-4
presettle,18000,0.601580,0.597969,1.868917,1.327696e-4,1.251201e-4
