case,mu,mu_r,stage,n_pebbles,n_centres,r_m,r_over_d,g,coordination,counts
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.000600,0.0100,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.001800,0.0300,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.003000,0.0500,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.004200,0.0700,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.005400,0.0900,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.006600,0.1100,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.007800,0.1300,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.009000,0.1500,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.010200,0.1700,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.011400,0.1900,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.012600,0.2100,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.013800,0.2300,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.015000,0.2500,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.016200,0.2700,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.017400,0.2900,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.018600,0.3100,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.019800,0.3300,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.021000,0.3500,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.022200,0.3700,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.023400,0.3900,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.024600,0.4100,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.025800,0.4300,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.027000,0.4500,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.028200,0.4700,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.029400,0.4900,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.030600,0.5100,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.031800,0.5300,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.033000,0.5500,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.034200,0.5700,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.035400,0.5900,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.036600,0.6100,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.037800,0.6300,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.039000,0.6500,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.040200,0.6700,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.041400,0.6900,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.042600,0.7100,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.043800,0.7300,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.045000,0.7500,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.046200,0.7700,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.047400,0.7900,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.048600,0.8100,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.049800,0.8300,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.051000,0.8500,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.052200,0.8700,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.053400,0.8900,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.054600,0.9100,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.055800,0.9300,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.057000,0.9500,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.058200,0.9700,0.000000,0.000000,0
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.059400,0.9900,17.588190,4.824861,44133
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.060600,1.0100,3.803350,5.910790,9933
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.061800,1.0300,1.811055,6.448562,4919
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.063000,1.0500,1.337775,6.861375,3776
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.064200,1.0700,1.114923,7.218651,3268
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.065400,1.0900,1.011591,7.555045,3077
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.066600,1.1100,0.902553,7.866295,2847
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.067800,1.1300,0.826533,8.161692,2702
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.069000,1.1500,0.827865,8.468132,2803
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.070200,1.1700,0.761283,8.759812,2668
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.071400,1.1900,0.729290,9.048868,2644
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.072600,1.2100,0.703247,9.337050,2636
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.073800,1.2300,0.678756,9.624467,2629
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.075000,1.2500,0.655210,9.911009,2621
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.076200,1.2700,0.647572,10.203345,2674
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.077400,1.2900,0.671306,10.516016,2860
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.078600,1.3100,0.692618,10.848694,3043
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.079800,1.3300,0.622040,11.156663,2817
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.081000,1.3500,0.650897,11.488685,3037
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.082200,1.3700,0.633905,11.821690,3046
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.083400,1.3900,0.637426,12.166393,3153
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.084600,1.4100,0.687254,12.548814,3498
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.085800,1.4300,0.663007,12.928282,3471
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.087000,1.4500,0.646702,13.308844,3481
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.088200,1.4700,0.689598,13.725921,3815
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.089400,1.4900,0.687044,14.152837,3905
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.090600,1.5100,0.687809,14.591779,4015
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.091800,1.5300,0.722840,15.065377,4332
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.093000,1.5500,0.755358,15.573303,4646
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.094200,1.5700,0.769672,16.104296,4857
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.095400,1.5900,0.821967,16.685908,5320
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.096600,1.6100,0.827290,17.286105,5490
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.097800,1.6300,0.868125,17.931672,5905
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.099000,1.6500,0.926691,18.637805,6459
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.100200,1.6700,0.935861,19.368317,6682
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.101400,1.6900,1.014224,20.179075,7416
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.102600,1.7100,1.121281,21.096753,8394
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.103800,1.7300,1.213096,22.112933,9295
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.105000,1.7500,1.143055,23.092708,8962
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.106200,1.7700,1.136320,24.089100,9114
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.107400,1.7900,1.149958,25.120367,9433
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.108600,1.8100,1.191334,26.212747,9992
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.109800,1.8300,1.216524,27.353012,10430
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.111000,1.8500,1.205200,28.507489,10560
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.112200,1.8700,1.265121,29.745709,11326
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.113400,1.8900,1.290101,31.035531,11798
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.114600,1.9100,1.314833,32.378047,12280
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.115800,1.9300,1.387239,33.824314,13229
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.117000,1.9500,1.434328,35.350825,13963
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.118200,1.9700,1.452054,36.928064,14427
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.119400,1.9900,1.514646,38.606866,15356
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.120600,2.0100,1.024446,39.765278,10596
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.121800,2.0300,0.959905,40.872417,10127
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.123000,2.0500,0.916821,41.950804,9864
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.124200,2.0700,0.882326,43.008965,9679
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.125400,2.0900,0.872406,44.075544,9756
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.126600,2.1100,0.877090,45.168471,9997
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.127800,2.1300,0.844166,46.240407,9805
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.129000,2.1500,0.866475,47.361430,10254
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.130200,2.1700,0.834485,48.461244,10060
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.131400,2.1900,0.856043,49.610364,10511
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.132600,2.2100,0.864612,50.792282,10811
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.133800,2.2300,0.848544,51.973325,10803
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.135000,2.2500,0.835301,53.156882,10826
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.136200,2.2700,0.875453,54.419482,11549
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.137400,2.2900,0.850098,55.667213,11413
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.138600,2.3100,0.887121,56.992129,12119
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.139800,2.3300,0.886923,58.339784,12327
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.141000,2.3500,0.879812,59.699683,12439
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.142200,2.3700,0.906681,61.125068,13038
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.143400,2.3900,0.908050,62.576801,13279
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.144600,2.4100,0.932451,64.092599,13865
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.145800,2.4300,0.931917,65.632776,14088
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.147000,2.4500,0.949301,67.227616,14588
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.148200,2.4700,0.983225,68.906527,15357
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.149400,2.4900,0.991371,70.626872,15736
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.150600,2.5100,1.012091,72.411501,16324
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.151800,2.5300,1.022210,74.242812,16751
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.153000,2.5500,1.026182,76.110419,17083
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.154200,2.5700,1.048713,78.049087,17733
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.155400,2.5900,1.078464,80.073904,18521
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.156600,2.6100,1.073180,82.120039,18716
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.157800,2.6300,1.100968,84.251449,19496
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.159000,2.6500,1.090253,86.394337,19601
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.160200,2.6700,1.091788,88.572756,19926
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.161400,2.6900,1.119824,90.840713,20745
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.162600,2.7100,1.100856,93.103531,20698
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.163800,2.7300,1.083318,95.363289,20670
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.165000,2.7500,1.067670,97.623155,20671
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.166200,2.7700,1.091914,99.968077,21449
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.167400,2.7900,1.086301,102.334755,21648
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.168600,2.8100,1.055509,104.667432,21337
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.169800,2.8300,1.062151,107.048322,21778
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.171000,2.8500,1.034648,109.400459,21515
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.172200,2.8700,1.034173,111.784629,21808
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.173400,2.8900,1.020938,114.171204,21830
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.174600,2.9100,1.025726,116.602274,22237
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.175800,2.9300,0.997347,118.998688,21920
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.177000,2.9500,0.997290,121.427791,22219
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.178200,2.9700,0.988820,123.869028,22330
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.179400,2.9900,0.942561,126.227506,21573
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.180600,3.0100,0.939389,128.609599,21789
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.181800,3.0300,0.930433,131.000437,21869
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.183000,3.0500,0.939265,133.445939,22369
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.184200,3.0700,0.952307,135.958019,22978
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.185400,3.0900,0.935069,138.456871,22857
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.186600,3.1100,0.928048,140.969170,22980
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.187800,3.1300,0.944694,143.559528,23694
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.189000,3.1500,0.957812,146.219526,24331
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.190200,3.1700,0.965161,148.934077,24830
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.191400,3.1900,0.973248,151.706024,25355
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.192600,3.2100,0.957557,154.467585,25260
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.193800,3.2300,0.963894,157.282169,25745
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.195000,3.2500,0.977695,160.172516,26438
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.196200,3.2700,1.003069,163.174483,27459
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.197400,3.2900,0.990189,166.174265,27439
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.198600,3.3100,0.986067,169.197988,27658
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.199800,3.3300,0.990567,172.272330,28121
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.201000,3.3500,1.001642,175.418498,28778
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.202200,3.3700,1.000141,178.597573,29079
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.203400,3.3900,1.017674,181.870887,29941
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.204600,3.4100,1.024918,185.206516,30511
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.205800,3.4300,1.022961,188.574943,30811
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.207000,3.4500,1.018946,191.969389,31049
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.208200,3.4700,1.027898,195.433475,31686
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.209400,3.4900,1.040011,198.978900,32430
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.210600,3.5100,1.030887,202.533618,32515
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.211800,3.5300,1.037828,206.153165,33108
