batch,extracted,n,phi_bulk,phi_whole_core,bed_top,ke_per_pebble_over_edrop,elapsed_s
0,0,27554,0.608293,0.604688,1.844623,0.000000e0,0.1
1,50,27554,0.607959,0.603825,1.849690,2.169816e-2,106.8
2,100,27554,0.608346,0.603546,1.849587,1.958136e-2,214.1
3,150,27554,0.607142,0.603521,1.850842,2.313354e-2,347.2
4,200,27554,0.608738,0.603103,1.850946,2.305216e-2,474.3
5,250,27554,0.608296,0.602537,1.853200,1.891113e-2,582.3
6,300,27554,0.608805,0.602795,1.853146,2.313951e-2,688.5
7,350,27554,0.608025,0.601847,1.855916,2.320481e-2,797.1
8,400,27554,0.608949,0.602145,1.856104,2.225972e-2,907.2
9,450,27554,0.609149,0.602105,1.855194,2.870514e-2,1016.5
10,500,27554,0.609182,0.602243,1.855950,1.719245e-2,1127.0
11,550,27554,0.608954,0.602643,1.854719,2.543513e-2,1236.7
12,600,27554,0.608867,0.602768,1.854039,2.483680e-2,1346.5
13,650,27554,0.609247,0.602994,1.853935,2.435672e-2,1452.8
14,700,27554,0.609479,0.602578,1.854255,3.387416e-2,1559.8
15,750,27554,0.609529,0.602425,1.854578,1.991591e-2,1667.4
16,800,27554,0.606540,0.602841,1.852634,2.796441e-2,1779.1
17,850,27554,0.608247,0.602116,1.855456,2.131110e-2,1887.4
18,900,27554,0.610141,0.602812,1.853535,2.420999e-2,1996.3
19,950,27554,0.608894,0.602929,1.853101,2.881112e-2,2105.0
20,1000,27554,0.609142,0.603305,1.850989,2.245286e-2,2215.2
21,1050,27554,0.609189,0.603273,1.851898,1.884174e-2,2371.8
22,1100,27554,0.609599,0.603476,1.851864,2.435720e-2,2481.4
23,1150,27554,0.605386,0.603386,1.851773,2.406650e-2,2590.2
24,1200,27554,0.608954,0.603428,1.850907,2.548875e-2,2701.9
25,1250,27554,0.610024,0.602839,1.853231,2.735159e-2,2811.4
26,1300,27554,0.608362,0.602783,1.852298,3.265850e-2,2920.2
27,1350,27554,0.609984,0.603023,1.852222,2.135409e-2,3028.3
28,1400,27554,0.607951,0.602798,1.852177,2.406215e-2,3136.8
29,1450,27554,0.609831,0.602917,1.851887,2.413761e-2,3244.9
30,1500,27554,0.610092,0.603467,1.850713,1.929403e-2,3354.5
31,1550,27554,0.610062,0.603484,1.851840,2.351651e-2,3461.7
32,1600,27554,0.610499,0.603440,1.851681,2.730152e-2,3570.8
33,1650,27554,0.610679,0.603652,1.851324,2.318400e-2,3679.5
34,1700,27554,0.609000,0.603965,1.850143,2.249039e-2,3790.4
35,1750,27554,0.610518,0.603888,1.850232,2.391077e-2,3901.5
36,1800,27554,0.610592,0.603614,1.850556,2.359930e-2,4008.8
37,1850,27554,0.609836,0.603043,1.852604,1.964123e-2,4112.9
38,1900,27554,0.609796,0.603070,1.853185,2.259329e-2,4217.8
39,1950,27554,0.609814,0.603385,1.852585,2.663364e-2,4321.8
40,2000,27554,0.610802,0.603357,1.852376,2.406437e-2,4426.1
