phase,batch,step,extracted,n,phi_bulk,phi_whole_core,surface_height,core_ke_per_pebble_over_edrop,all_ke_per_pebble_over_edrop,elapsed_s
recirculation,0,0,0,27554,0.608293,0.604688,1.844623,0.000000e0,0.000000e0,0.1
recirculation,1,8000,50,27554,0.608435,0.604430,1.845705,1.123335e-4,1.042871e-4,380.9
recirculation,2,16000,100,27554,0.608539,0.604333,1.846222,1.978496e-4,1.804439e-4,786.8
recirculation,3,24000,150,27554,0.608657,0.604453,1.845193,1.470075e-4,1.439703e-4,1237.7
recirculation,4,32000,200,27554,0.608854,0.604029,1.846049,1.816959e-4,1.656455e-4,1618.0
recirculation,5,40000,250,27554,0.608920,0.603864,1.847068,1.859522e-4,1.742902e-4,1972.1
recirculation,6,48000,300,27554,0.609147,0.604320,1.846337,1.261953e-4,1.165931e-4,2339.6
recirculation,7,56000,350,27554,0.609450,0.604671,1.845117,2.107335e-4,1.938642e-4,2700.8
recirculation,8,64000,400,27554,0.609427,0.604712,1.845287,2.232999e-4,2.158401e-4,3057.4
recirculation,9,72000,450,27554,0.609576,0.604549,1.845710,1.979254e-4,1.925322e-4,3413.6
recirculation,10,80000,500,27554,0.609758,0.604796,1.845544,1.957195e-4,1.796217e-4,3763.5
