id,x,y,z,vx,vy,vz
1,7.22684621699511531e-1,-2.45520117056232334e-1,1.88898443731767807e0,-5.03591566525912141e-3,1.53529998554597820e-2,-4.95660475615805965e-2
2,-3.35129369138407462e-1,5.74046041029240617e-1,1.29686558861451107e0,-2.05061133794468345e-3,-6.61183535002918027e-4,-5.25986874575493368e-2
3,-1.43634315530195733e-1,7.65793050527485919e-1,9.42409546696039047e-1,-9.76379472606872002e-3,5.14446781105274125e-3,-6.60641376975372452e-2
4,7.86926134204995686e-1,-2.23554244303555610e-1,1.08764578513649290e0,-7.48124370920408982e-3,8.95088472779931657e-3,-5.65384842812963820e-2
5,-4.93504666654362101e-1,1.59699669484675677e-1,1.43902718874486385e-2,2.20641744212843223e-2,-4.22244492265326718e-2,-4.20671009704310997e-2
6,2.64329631524492348e-1,-6.21083934703288931e-1,6.78192435037564878e-1,4.95445639497833767e-3,2.46168268539909765e-2,-5.90592336656718397e-2
7,-5.07616410118413408e-1,-5.66298280903817619e-1,4.98378085223315448e-1,-1.62048017892612835e-3,3.27944503409555643e-3,-8.50681281843429678e-3
8,2.80989225120650624e-2,1.17401588832867221e-1,1.57121684130248407e0,1.54691095263940581e-3,2.69997936711272252e-3,-5.97759110146003081e-2
9,-5.93147399558294874e-1,3.07116370377657821e-1,1.52965484381087258e0,3.52332968633926489e-3,-2.68892226738064806e-4,-3.82450610174549857e-2
10,4.46953205241648721e-1,4.45072669225480666e-1,7.18859422963507688e-1,-1.98102689777039523e-3,-1.95016959543004124e-2,-5.12223045864656293e-2
11,1.84500437644767173e-1,-6.23796495388414751e-1,1.47629469112875245e0,1.29826555303155355e-2,-8.09851234411087043e-3,-8.24977404124058178e-2
12,-5.30721753422576992e-1,-4.21756213121240064e-1,1.00002158077547554e0,4.42559484667028134e-3,2.95750428372708015e-3,-5.18940833824846071e-2
13,-5.16645058071616314e-1,3.46659185135733017e-1,1.45500130897601143e0,8.01189442114884701e-3,-6.10534099225857729e-3,-4.47024446130101991e-2
14,-7.10904545782477082e-1,7.59901903625097574e-2,1.23962698167560714e0,1.05608702620750821e-2,4.76846015115563356e-3,-6.87274269056561138e-2
15,-6.18823512061457914e-1,5.54432226958278318e-1,5.79918381093660340e-2,-5.16307434853701240e-5,-1.79973033708966078e-2,-1.50571947976552642e-2
16,2.77777788142714921e-1,-6.68415963003200719e-1,6.43954540981142021e-1,3.18472592433222037e-3,2.18844266399179331e-2,-5.00569123529141166e-2
17,5.47795106376466112e-1,2.11734263922613401e-2,8.84430894480779273e-1,-6.58062407271140914e-3,-2.41508879921578483e-3,-5.81346185045008429e-2
18,6.04486887289554353e-1,3.83882358101411414e-1,7.85531087763551850e-1,2.53237569312688869e-3,-7.39856251731108808e-3,-5.41627114459742598e-2
19,-3.31987605457020218e-1,4.57953167042180753e-1,3.04143064215795011e-1,2.28425541609559753e-2,-2.14785053962925319e-2,-5.40168240832078206e-2
20,7.09897224765397183e-1,-2.74739745440175709e-1,1.05353495294296517e0,-1.15733007387943589e-2,2.16000294908747685e-3,-6.68615054396503178e-2
21,6.94085004939528627e-1,-3.27921066489021085e-1,1.07614051185334869e0,-7.19022375121158679e-3,5.23786002432110459e-3,-5.29600519796857572e-2
22,2.48256669183319817e-1,-8.33903577056570811e-1,2.47182401337907531e-1,2.68789746809555957e-3,-2.07949929378987422e-3,-2.85417709216576575e-2
23,6.59698167554883669e-2,-1.84475209608164881e-1,-5.10212537931024612e-1,-1.86835402801591360e-1,-5.44821200725308818e-1,-6.12807234503302434e-1
24,-3.29905751091767452e-1,4.52194156024699867e-1,2.19760015600588637e-1,-1.90627883339583235e-2,1.20408296793820986e-2,-4.94998064366105814e-2
25,3.73102402893701834e-1,1.49732079517641337e-1,1.10187371707956205e0,-5.67975093934375112e-3,3.67835596389737372e-3,-6.51316490128258374e-2
26,4.26716824214880774e-1,6.46524292206173135e-1,2.06255649793363055e-1,-1.95053397353455414e-3,-1.69154626849965101e-2,4.91865469391522016e-3
27,-1.57792576536513046e-1,4.38934088745690953e-1,1.71612992870690567e-1,5.64219236540516172e-2,-4.76871479260817036e-2,-6.75992729229177025e-2
28,4.92337489525296823e-1,3.61656416481976190e-2,7.64197992505810247e-2,-7.65797520610291549e-2,-5.53581741532964411e-2,-8.89522984272773098e-2
29,7.22219765176637774e-1,-4.85112685058843751e-1,1.40473874787967423e0,8.51383162456844354e-4,-6.58533033074803738e-4,-7.01314279434925997e-2
30,-4.37904355733360062e-1,2.01870834013735956e-1,1.10442705224720883e0,2.65754389303330752e-3,2.56915480122485310e-3,-5.18582890468641255e-2
31,1.31221653245424553e-2,1.04178771619162794e-1,1.40070366118892231e0,4.42460801147414109e-3,4.86572713382724294e-3,-5.32703458870514082e-2
32,4.46281469190630831e-1,6.82186426856775552e-1,3.85473380160452406e-1,-1.64658802159098547e-2,5.57439222738638756e-3,-5.21767777671381591e-2
33,3.33122167674307357e-1,-3.14727530968274896e-2,1.28125498024937196e-1,-7.00515426454052653e-2,-1.74055546044154658e-2,-1.14993024039521691e-1
34,-2.52945685292278455e-1,5.26430870637311157e-3,1.35438545563665680e0,2.26116626321728542e-3,4.57963300634792441e-3,-5.40214314343220939e-2
35,-4.24338610107108272e-1,5.90430350318741803e-1,-5.96743836430806574e-3,-6.42624246314082038e-4,-4.11012181993714795e-2,-2.59242432043122542e-2
36,3.30639383185459046e-1,-2.94152153954226780e-1,-2.24796817620507322e-1,-1.23078211502225168e-2,9.14718918655145208e-2,-6.70365982527486581e-2
37,-4.85629938797994265e-1,6.38985636666278140e-2,8.08472048605518911e-1,4.91005685222715982e-3,-2.48092572332625320e-3,-4.46901792477706755e-2
38,-3.89126092993571093e-1,-2.22150747632095025e-1,1.25119525416285793e-1,9.94201792779789151e-3,6.89554459421687794e-3,-2.17898384996106677e-2
39,-5.67514704709078388e-1,-4.86242383602800365e-1,1.60966190567431244e0,1.17255838178585356e-3,1.19587782437008058e-2,-4.18536015680348178e-2
40,-3.11467640927300893e-1,7.78475474885554214e-2,8.77489397832177942e-1,3.31650484783900306e-3,-2.72099056204637337e-4,-6.66221790730285035e-2
41,3.60797775872228554e-1,-9.56048789831836915e-2,1.39764582983609853e0,-2.41001534150863317e-3,3.53243054134095170e-3,-5.81444932986496174e-2
42,2.21006327378982653e-1,6.24789741462948522e-1,1.77265935984539302e0,1.01665815907270272e-2,-4.45024375379291263e-4,-6.40763454622246820e-2
43,5.78179223895760042e-1,-3.07291766765658725e-1,6.25757908762622828e-1,-7.24607978232342381e-3,1.03793881086425787e-3,-5.72967363976953289e-2
44,-6.76291574278106600e-1,5.47437237478177186e-1,6.64562128257633944e-1,1.88082726319874671e-3,1.52876551112438009e-3,-3.25594648628116309e-2
45,-3.28928122097787934e-1,-4.20884843781718809e-1,3.41803299129369353e-1,3.31050759379133194e-3,6.54674626704481333e-3,-8.53016869442368569e-2
46,5.21041400583107772e-1,-3.92925567073585336e-1,1.19059187575149772e0,2.73004538077501347e-3,-1.35471994703345176e-3,-6.33124370678377624e-2
47,3.81182979791287957e-1,5.85749054684637560e-1,1.85831928657041257e0,1.98203256401964199e-2,-3.74259172719590971e-2,-7.08993293593977586e-2
48,-2.13432312849718420e-1,2.56896296482203523e-1,7.44942881735986995e-1,-2.93291734927513884e-2,1.86698796677110465e-2,-6.46682200447934452e-2
49,6.74885047441117991e-1,-9.90486316380997101e-2,5.63663207267328770e-1,2.50371446207284286e-3,-1.28008290452340072e-2,-5.55955974553669560e-2
50,7.90096672175814030e-2,-1.38714110970773241e-1,1.20240419586827185e0,-8.21708014500816680e-3,1.99250510246117745e-3,-6.53035245034293971e-2
51,1.04534523304624094e-2,3.70001269052296966e-1,3.14704786416835150e-2,-1.37217639495352234e-1,-1.09003417166140870e-1,-2.30046255070717812e-2
52,-6.57470565799921913e-1,-4.86188104891824902e-1,1.01553854718475070e-1,-8.90666866224326149e-3,6.08575719243809043e-3,-2.51700168572063961e-2
53,-1.21297352123538177e-1,-5.64227052617977121e-1,8.11774611610986851e-1,6.83605174467573611e-3,5.06218348592538114e-3,-6.65629045501415356e-2
54,-2.61780851708877771e-1,1.67419890849167224e-1,1.45584659856277487e0,2.06013646282280196e-3,4.87940594886065830e-3,-5.07033094872965245e-2
55,-4.12764538292139327e-1,-4.79497558504341281e-1,1.29155131580465876e0,3.13151789026137059e-3,-3.05157194870158245e-3,-5.83380485535385587e-2
56,6.52850632356780314e-1,3.87341712022722329e-1,6.61845163768205236e-1,-9.16715348236753387e-3,-1.57748108194849870e-2,-5.61801849769500219e-2
57,7.05449684273918631e-1,5.09285398328180539e-1,1.02021151668114829e0,-2.37328896004592241e-3,5.89297991996258486e-3,-2.36577407656865975e-2
58,-5.03207448923977285e-1,4.17972243982278613e-1,1.78194156137146509e0,-4.26646920835020954e-4,-1.30008035659560321e-2,-4.90621332964660956e-2
59,5.89624825885123549e-1,4.76657566195197099e-2,-2.62869595957623929e-2,-7.10150109993575029e-2,-7.73353647559019142e-2,-5.34875708455498089e-2
60,-1.55535776830835359e-1,-5.39564888433430978e-1,1.37467067905771012e0,4.55578191950384466e-3,3.99328002062404857e-3,-6.29166150601040697e-2
61,-5.48445509139001919e-1,-5.50633900501492968e-1,1.35625718273164741e0,1.24316420931863889e-2,-1.76368349223659225e-3,-5.50139507957742857e-2
62,-5.33019514725065924e-1,1.08189407839880722e-1,1.33254725064890800e0,1.49236436097498074e-3,4.33559644408607666e-4,-4.94932097868847412e-2
63,-6.35902436494870521e-2,-1.82496721486547275e-1,1.64548131163081002e0,3.21381447704179642e-3,4.21773466496202717e-3,-5.77256329367703408e-2
64,-6.23795188394526343e-2,3.99680383127465011e-1,-1.42222231478784406e-1,-7.57182798833401921e-2,-1.95964175450201977e-1,-7.82140771234311749e-2
65,-6.02901454845886364e-2,-7.09953774983742236e-1,1.93074591160340092e0,3.08762476404986552e-1,1.15251767525652554e-1,-5.82052859744077167e-1
66,4.83228141271857148e-1,3.77230073297997570e-1,1.08712171482855124e0,-4.19475787459893702e-3,3.26252724651635668e-3,-6.11712258711605700e-2
67,4.22275106503081699e-1,6.85781673577883777e-1,1.61572042920109715e0,-6.27790494646758047e-3,1.81996603740537978e-2,-2.81684392722932123e-2
68,6.06224141782179884e-2,7.57955064455904329e-3,-1.49460823876281495e-2,-1.48633638646047450e-1,-1.08724368447082470e-1,-3.78646570269833949e-1
69,8.10746157339609752e-1,-1.16794632113722027e-1,1.71073757911411595e0,1.17632686244571270e-2,-8.71167543743993703e-3,-4.39271273390463776e-2
70,6.65083772356147462e-1,-2.53837202494206979e-3,5.79640436563471306e-1,-4.38237576233224246e-3,-1.85046857337363667e-2,-5.65988578537553952e-2
71,7.23028906658848669e-1,3.04824262554900027e-1,2.59975373783425945e-1,-6.33475830995268614e-3,-2.24006999100912728e-2,-3.03083814870365280e-2
