id,x,y,z,vx,vy,vz
1,-3.54429419632188214e-1,-2.93079578669969532e-1,2.64270459947792358e-1,9.97881504445532596e-7,1.54954320687892752e-6,-1.63121225211894515e-6
2,-3.38025450726081367e-1,5.90330654726321846e-1,1.65792285699585662e0,3.67347089201142090e-6,-8.02518524747139692e-6,-2.65259831651276839e-5
3,-1.38680024104899241e-1,7.69376207685148583e-1,1.27174199105531849e0,1.25471343329921857e-5,-1.44601514360730393e-5,-1.90273035437370404e-5
4,8.03592351578269581e-1,-2.05143263929855352e-1,1.43250032403757799e0,-5.88581300513888132e-6,-2.51021848935477628e-5,-2.76535343528406731e-6
5,-5.98216787998286592e-1,1.81213327492999954e-1,2.91107883198978679e-1,7.92280735424621805e-6,-4.04643227788888062e-6,-5.10330332175899445e-9
6,2.67545232510344122e-1,-6.17933368938578864e-1,1.01527704625780957e0,-6.70101270210576604e-6,-1.13083195979400342e-5,1.83111660529599986e-5
7,-5.12267933702459488e-1,-5.81527691523805679e-1,7.84738420388310765e-1,-4.66871674202610708e-6,6.73674994099208280e-6,-1.35223406406755149e-5
8,3.24982195810921762e-2,1.14902634434672316e-1,1.94393477538045945e0,2.43616206464961338e-6,2.79782391222156269e-6,-2.86811948317949154e-5
9,-5.93007564522925024e-1,3.16248864480437708e-1,1.89764720360788774e0,9.41183655509988464e-6,4.03202252221837342e-6,-6.45585644296956437e-6
10,4.65605707450855555e-1,4.62395590074772433e-1,1.07671045819734412e0,-2.76960090954624682e-6,-2.54582996436495357e-5,1.13381785439280473e-5
11,1.89753266349966920e-1,-6.20503955511308991e-1,1.85445163959397785e0,1.51900205556207129e-6,4.91693451578515321e-6,-1.65937581818760448e-5
12,-5.40104740544364081e-1,-4.33913023644262486e-1,1.34878633047491681e0,8.75612450241596947e-6,9.84263737521526088e-6,-1.59603106769925037e-5
13,-5.22352566650923777e-1,3.64325394848923179e-1,1.82036421532942105e0,4.15941141228093609e-6,1.14783324205236901e-6,-1.26201902554630642e-5
14,-7.08922957394395592e-1,8.89200288416520795e-2,1.58383074865196960e0,-5.73252431097546691e-6,9.25199959033684054e-6,1.87297949341448048e-7
15,-6.58205046424095164e-1,5.68242272781282587e-1,2.08889483818317206e-1,-2.06902966201188412e-6,1.93707592532962739e-6,4.91399980497016233e-6
16,2.82585295354737198e-1,-6.82764494229339269e-1,9.73958870536693611e-1,-1.62359807874612932e-6,1.10930825983126681e-6,-8.94802124254090540e-6
17,5.62335592595503919e-1,2.49942788805803083e-2,1.23513097781309966e0,1.14851392040320795e-5,-7.50688417275169668e-6,-6.22013777108675975e-6
18,6.25583239930937896e-1,3.96928844851920259e-1,1.13738253958735247e0,7.23503860612646863e-6,-2.24313766898920634e-5,1.40080851302388318e-5
19,-3.49754844984615954e-1,5.12889005675447263e-1,6.31023107677467388e-1,3.43845859180996977e-6,-4.91150988876071413e-6,1.87521393934383875e-6
20,7.32859368869155148e-1,-2.80784728922691129e-1,1.42177229859473941e0,-2.85736880553273055e-6,6.70785498224710168e-6,-2.22189294378166710e-5
21,7.00703093336205840e-1,-3.41269873908361554e-1,1.44030573898035019e0,-4.68843199819380887e-7,7.71583700815528346e-6,-3.16025920581302781e-5
22,2.37445000175747156e-1,-8.37018238885714694e-1,4.57034352380410125e-1,-4.38356176168048969e-7,7.24494231577865722e-7,2.82230568320285892e-6
23,2.77651664140166676e-1,-4.45869088030973193e-1,2.64251763520833016e-1,1.23522804447210072e-6,-2.47299363384025241e-6,2.95798869511187745e-6
24,-3.28123555989292437e-1,5.19560688677898730e-1,5.65957679068142872e-1,8.26497705568571801e-6,-4.59475036764201168e-6,-4.22286578276272057e-6
25,3.81325339999753876e-1,1.54743878572316890e-1,1.47914988310142403e0,-4.78343964821537216e-7,6.53255184462461665e-6,-4.07538552423831533e-5
26,4.47695126258117526e-1,6.54789155618303420e-1,4.20856294110131035e-1,2.83049089035313620e-5,2.62062255717616813e-5,2.22506286452591994e-5
27,-1.76847027055611283e-1,5.18968507125599388e-1,5.17995570665001792e-1,-2.52605632080830206e-5,-6.82784985326025890e-6,3.47575173356590793e-5
28,6.09017807567950764e-1,6.86996904810811548e-2,3.98279563605168307e-1,3.72712952775694372e-7,1.74481700162847959e-5,-6.26229139207723020e-6
29,7.31447532388081023e-1,-4.71170240833271303e-1,1.73376776168898838e0,3.19730252201253049e-6,6.48188757262977742e-6,-8.08622685825756026e-6
30,-4.39018349509550487e-1,2.19056474388796191e-1,1.46609833819072932e0,-9.06545831854155778e-6,-1.01268344274063562e-5,-8.29137489030609580e-6
31,1.49740220990503986e-3,1.06199626693513044e-1,1.76756341708107589e0,5.94265266604073795e-7,-1.25147980088079165e-6,-3.32566246469482966e-5
32,4.47582951457260458e-1,6.87212153690501371e-1,6.66049144117446201e-1,-1.30509434493762590e-6,1.65830098323174963e-6,7.54788929980545423e-6
33,4.54708697676669438e-1,-3.01182193647124598e-2,5.31368024627649316e-1,4.54990823297228927e-6,-1.69010156688070514e-6,-6.47318284258246171e-6
34,-2.55939096745247618e-1,4.29653809946237662e-3,1.71951060115908994e0,-3.93129741717358522e-6,-4.46609888712893132e-6,-2.04334938362127190e-5
