step,x1,y1,z1,vx1,vy1,vz1,omegax1,omegay1,omegaz1,x2,y2,z2,vx2,vy2,vz2,omegax2,omegay2,omegaz2
0,-0.0060000000000000001,0,0,1,0.5,0,0,0,0,0.0060000000000000001,0,0,-1,-0.5,0,0,0,0
10,-0.0059899999999999988,5.0000000000000004e-06,0,1,0.5,0,0,0,0,0.0059899999999999988,-5.0000000000000004e-06,0,-1,-0.5,0,0,0,0
20,-0.0059799999999999975,1.0000000000000003e-05,0,1,0.5,0,0,0,0,0.0059799999999999975,-1.0000000000000003e-05,0,-1,-0.5,0,0,0,0
30,-0.0059699999999999961,1.5000000000000005e-05,0,1,0.5,0,0,0,0,0.0059699999999999961,-1.5000000000000005e-05,0,-1,-0.5,0,0,0,0
40,-0.0059599999999999948,1.9999999999999991e-05,0,1,0.5,0,0,0,0,0.0059599999999999948,-1.9999999999999991e-05,0,-1,-0.5,0,0,0,0
50,-0.0059499999999999935,2.4999999999999977e-05,0,1,0.5,0,0,0,0,0.0059499999999999935,-2.4999999999999977e-05,0,-1,-0.5,0,0,0,0
60,-0.0059399999999999922,2.9999999999999963e-05,0,1,0.5,0,0,0,0,0.0059399999999999922,-2.9999999999999963e-05,0,-1,-0.5,0,0,0,0
70,-0.0059299999999999908,3.499999999999995e-05,0,1,0.5,0,0,0,0,0.0059299999999999908,-3.499999999999995e-05,0,-1,-0.5,0,0,0,0
80,-0.0059199999999999895,3.9999999999999936e-05,0,1,0.5,0,0,0,0,0.0059199999999999895,-3.9999999999999936e-05,0,-1,-0.5,0,0,0,0
90,-0.0059099999999999882,4.4999999999999922e-05,0,1,0.5,0,0,0,0,0.0059099999999999882,-4.4999999999999922e-05,0,-1,-0.5,0,0,0,0
100,-0.0058999999999999869,4.9999999999999908e-05,0,1,0.5,0,0,0,0,0.0058999999999999869,-4.9999999999999908e-05,0,-1,-0.5,0,0,0,0
110,-0.0058899999999999855,5.4999999999999894e-05,0,1,0.5,0,0,0,0,0.0058899999999999855,-5.4999999999999894e-05,0,-1,-0.5,0,0,0,0
120,-0.0058799999999999842,5.999999999999988e-05,0,1,0.5,0,0,0,0,0.0058799999999999842,-5.999999999999988e-05,0,-1,-0.5,0,0,0,0
